;annee;mois;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P10P1;marche;rf
mars-95;1995;3;-0,03836;-0,038321;-0,021821;-0,040142;-0,024992;0,004993;-0,022451;0,007027;0,005961;0,030878;0,069238;0,027;0,0046
avr-95;1995;4;0,052856;0,013859;0,009265;-0,010054;0,010473;0,033634;0,027678;0,010513;-0,004831;0,00387;-0,048986;0,025;0,0044
mai-95;1995;5;0,050438;0,023898;0,054109;0,033684;0,055265;0,040051;0,036434;0,036183;0,03084;-0,019199;-0,069637;0,034;0,0054
juin-95;1995;6;0,011139;0,00984;0,01245;-0,010761;-0,010775;0,02258;-0,000591;0,016753;-0,013126;0,024091;0,012952;0,0312;0,0047
juil-95;1995;7;0,00702;0,033062;-0,003046;-0,020457;-0,009808;-0,012762;-0,007592;-0,013319;-0,001761;0,031771;0,024751;0,0408;0,0045
ao�t-95;1995;8;0,007825;0,020269;0,03622;0,050615;0,013746;0,020503;0,010017;0,019989;0,022419;-0,013119;-0,020944;0,0093;0,0047
sept-95;1995;9;-0,009538;0,043474;0,039285;0,052709;0,054684;0,049417;0,043392;0,056237;0,033055;0,036144;0,045682;0,0364;0,0043
oct-95;1995;10;-0,034992;0,002334;0,007768;-0,011981;0,044083;0,026802;0,021778;0,023573;0,003616;-0,02001;0,014982;-0,0113;0,0047
nov-95;1995;11;0,064196;0,017041;0,023571;0,030728;0,017917;0,020077;0,015982;0,010378;0,012083;0,078539;0,014343;0,0427;0,0042
d�c-95;1995;12;0,001819;0,019715;0,027248;0,013874;0,044961;0,041069;0,031758;0,041067;0,038739;0,028001;0,026182;0,0152;0,0049
janv-96;1996;1;-0,000276;0,034677;0,000832;0,013244;0,016394;0,018333;0,03095;0,039612;0,023211;0,032678;0,032954;0,0281;0,0043
f�vr-96;1996;2;-0,003841;-0,009482;0,007693;-0,01995;-0,015666;0,00263;-0,041275;-0,012165;-0,018876;0,031676;0,035517;0,0163;0,0039
mars-96;1996;3;0,008567;-0,011241;0,027376;-0,000214;-0,017817;0,014718;0,020808;-0,005933;0,005899;0,051626;0,043059;0,0109;0,0039
avr-96;1996;4;0,04304;0,011675;-0,043825;-0,008569;-0,033363;-0,022517;-0,038264;-0,035153;-0,003616;-0,023594;-0,066634;0,0255;0,0046
mai-96;1996;5;0,015805;0,002852;0,004608;0,001774;0,021364;0,00604;0,012072;-0,003858;-0,000727;0,014904;-0,000901;0,0268;0,0042
juin-96;1996;6;-0,040301;-0,004265;0,012559;-0,004089;0,047354;0,048084;0,013782;0,052129;0,031335;0,034024;0,074325;-0,0083;0,004
juil-96;1996;7;-0,0403;-0,034185;-0,035426;-0,060432;-0,054641;-0,050788;-0,032533;-0,039073;-0,049195;-0,122488;-0,082188;-0,0538;0,0045
ao�t-96;1996;8;0,06731;0,040204;0,043449;0,03015;0,027816;0,051699;0,024212;0,03647;0,038717;0,016345;-0,050965;0,0325;0,0041
sept-96;1996;9;0,021598;0,010608;-0,005587;0,001902;-0,000832;-0,003316;-0,013618;0,025674;0,00471;-0,005651;-0,027249;0,053;0,0044
oct-96;1996;10;0,019603;0,000657;0,019595;0,00905;0,015584;0,0218;0,021156;0,046089;0,007426;0,029161;0,009558;0,0136;0,0042
nov-96;1996;11;0,038298;0,044742;0,017581;0,027114;0,011223;0,023209;0,030014;0,060492;0,019722;0,067002;0,028704;0,0655;0,0041
d�c-96;1996;12;-0,010794;-0,022123;0,006405;0,009276;-0,013412;0,051676;0,002706;0,009242;-0,00916;-0,030999;-0,020205;-0,0114;0,0046
janv-97;1997;1;0,011282;0,015073;0,005331;0,001817;0,003334;0,001726;0,033975;0,032551;0,017951;0,013529;0,002247;0,0534;0,0045
f�vr-97;1997;2;-0,021883;0,020806;-0,008458;-0,00345;0,004988;-0,017133;-0,007324;-0,018551;-0,003522;0,015328;0,037211;-0,0011;0,0039
mars-97;1997;3;-0,051199;-0,029005;-0,018563;-0,068326;-0,020246;-0,043831;-0,020949;-0,016153;-0,015527;-0,046653;0,004546;-0,0448;0,0043
avr-97;1997;4;-0,014838;-0,016528;-0,023022;-0,010528;-0,010267;-0,001174;0,004727;0,0314;-0,033769;0,012069;0,026907;0,0423;0,0043
mai-97;1997;5;0,030722;0,008638;0,041555;0,051407;0,038067;0,05145;0,01831;0,015838;0,042865;0,04755;0,016828;0,0716;0,0049
juin-97;1997;6;0,02162;0,050252;0,035583;0,020071;0,039335;0,047566;0,039118;0,039777;0,025659;0,019976;-0,001644;0,0441;0,0037
juil-97;1997;7;0,04142;0,039839;0,04377;0,061442;0,031029;0,007263;0,028759;0,021142;0,020134;0,09219;0,05077;0,0765;0,0043
ao�t-97;1997;8;0,014546;0,008046;0,008808;-0,008761;-0,033073;0,016283;-0,000457;-0,0194;-0,007474;0,01728;0,002734;-0,0363;0,0041
sept-97;1997;9;0,034981;0,027662;0,06594;0,043156;0,065267;0,000723;0,043206;0,05432;0,053628;0,128227;0,093246;0,0584;0,0044
oct-97;1997;10;0,039332;0,025573;0,026847;-0,001235;-0,005916;-0,002387;0,0115;0,004148;0,001287;-0,03738;-0,076712;-0,0345;0,0042
nov-97;1997;11;0,062424;0,056706;0,052037;0,061384;0,045242;0,053414;0,061815;0,07486;0,063137;0,03295;-0,029474;0,0305;0,0039
d�c-97;1997;12;0,007895;0,084959;0,052342;0,090358;0,077106;0,080141;0,079865;0,106792;0,092096;-0,030117;-0,038012;0,0178;0,0048
janv-98;1998;1;-0,025145;-0,062257;-0,04278;-0,063546;-0,035952;-0,039851;-0,017798;-0,068426;-0,067962;0,02647;0,051615;0,0045;0,0043
f�vr-98;1998;2;0,007381;-0,003502;0,004479;0,035435;0,023667;0,025263;0,022698;0,046257;0,024744;0,029968;0,022587;0,0732;0,0039
mars-98;1998;3;0,055233;0,059152;0,042564;0,063552;0,06133;0,022923;0,052677;0,059624;0,057687;0,029555;-0,025678;0,0513;0,0039
avr-98;1998;4;0,028571;-0,023514;-0,012346;-0,016499;-0,02719;-0,0224;-0,046432;-0,035264;-0,055251;0,011616;-0,016955;0,0109;0,0043
mai-98;1998;5;0,011874;-0,048936;-0,0404;-0,032583;-0,026878;-0,033469;-0,040643;-0,025288;-0,003713;-0,025445;-0,037319;-0,0258;0,004
juin-98;1998;6;-0,000786;0,011212;0,023959;0,037045;0,021361;0,033146;0,052183;0,025229;0,047047;0,021716;0,022502;0,032;0,0041
juil-98;1998;7;-0,140366;-0,035592;-0,034351;-0,062289;-0,037001;-0,069366;-0,024233;-0,070132;-0,040347;-0,061051;0,079315;-0,0233;0,004
ao�t-98;1998;8;-0,116202;-0,045992;-0,031093;-0,03174;0,008338;-0,056974;-0,032048;0,050503;0,022293;-0,111619;0,004583;-0,1577;0,0043
sept-98;1998;9;0,081946;0,092962;0,101976;0,104027;0,091821;0,089758;0,021085;0,04435;0,050744;0,07063;-0,011316;0,0638;0,0046
oct-98;1998;10;0,116051;0,01286;-0,030811;-0,041537;-0,017161;-0,00304;0,006976;-0,022833;0,026794;0,062787;-0,053264;0,0744;0,0032
nov-98;1998;11;-0,034396;0,017976;0,014871;0,025565;0,013206;-0,00514;0,05315;0,043785;-0,006478;0,0394;0,073796;0,062;0,0031
d�c-98;1998;12;0,007748;0,032036;0,046606;0,013512;0,073354;0,006167;0,064501;-0,0009;0,041304;0,057957;0,050209;0,0631;0,0038
janv-99;1999;1;-0,099541;-0,054672;-0,049466;-0,036506;-0,056112;-0,074392;-0,049503;-0,064619;-0,039095;-0,028083;0,071458;0,0383;0,0035
f�vr-99;1999;2;-0,026294;-0,024027;-0,05683;-0,090166;-0,058605;-0,023689;-0,036459;-0,042974;-0,03474;-0,019819;0,006475;-0,0381;0,0035
mars-99;1999;3;0,058476;-0,048001;-0,009989;-0,024245;0,002247;-0,041986;-0,029172;-0,027978;-0,012461;0,01623;-0,042246;0,0379;0,0043
avr-99;1999;4;0,009046;0,039949;0,015559;0,046396;0,038794;0,096357;0,062993;0,052001;0,016936;0,036698;0,027652;0,049;0,0037
mai-99;1999;5;0,040258;0,072597;0,089039;0,061165;0,035355;0,045391;0,048612;0,062855;0,072085;0,017092;-0,023166;-0,0207;0,0034
juin-99;1999;6;0,059942;0,004228;-0,035733;-0,006291;-0,007514;-0,06749;-0,042258;-0,023599;-0,03518;0,051799;-0,008143;0,051;0,004
juil-99;1999;7;0,045761;0,031106;0,019925;0,010034;-0,000559;0,015161;0,023848;0,002431;0,001782;-0,000467;-0,046228;-0,0306;0,0038
ao�t-99;1999;8;-0,025235;0,022414;0,001614;-0,015941;-0,035146;-0,025368;-0,028993;0,03624;-0,059042;-0,075964;-0,050729;-0,01;0,0039
sept-99;1999;9;-0,005377;-0,048356;-0,047493;-0,033149;-0,009038;-0,04208;-0,037767;-0,034579;-0,059382;-0,034416;-0,029039;-0,0229;0,0039
oct-99;1999;10;-0,018449;0,029812;0,001675;0,012302;0,01871;-0,001488;0,011784;0,006991;0,033489;0,096958;0,115407;0,062;0,0039
nov-99;1999;11;-0,043771;-0,056511;-0,038592;-0,069206;-0,065127;-0,077145;-0,065454;0,018264;0,02133;0,08032;0,124091;0,0369;0,0036
d�c-99;1999;12;-0,01567;-0,033632;-0,0493;-0,037072;-0,029361;-0,052277;-0,016831;-0,042382;-0,033029;0,043139;0,058809;0,0839;0,0044
janv-00;2000;1;0,049966;0,091099;-0,028603;0,055204;0,011571;-0,005757;-0,017501;-0,016253;-0,029819;-0,020969;-0,070935;-0,0398;0,0041
f�vr-00;2000;2;-0,031658;-0,168001;-0,044738;-0,07198;-0,066657;-0,063678;-0,077658;-0,082817;-0,03432;-0,013191;0,018467;0,0318;0,0043
mars-00;2000;3;0,063341;0,095426;0,146186;0,075967;0,05906;-0,044453;0,040305;0,041519;0,05548;0,108936;0,045595;0,0536;0,0047
avr-00;2000;4;0,069558;0,03077;0,021849;0,051074;0,033018;0,113388;0,103855;0,053269;0,015417;-0,036199;-0,105757;-0,0595;0,0046
mai-00;2000;5;-0,011981;0,00184;0,039898;0,009003;0,017726;0,000511;-0,001851;0,031714;-0,048392;-0,016424;-0,004443;-0,039;0,005
juin-00;2000;6;-0,052468;-0,056083;-0,030482;-0,066988;-0,067527;-0,02219;-0,065408;-0,03456;-0,004755;0,026505;0,078973;0,0516;0,004
juil-00;2000;7;0,040014;0,054278;0,03153;0,053523;0,048127;0,047277;0,054374;0,073478;0,062769;0,020137;-0,019877;-0,0171;0,0048
ao�t-00;2000;8;0,018897;0,009047;0,027346;0,125304;0,08188;0,053035;0,077328;0,090478;0,044262;0,12166;0,102763;0,0758;0,005
sept-00;2000;9;-0,030155;0,074572;0,044584;0,076626;0,060554;0,073012;0,024149;0,065266;0,093495;0,061327;0,091482;-0,0511;0,0051
oct-00;2000;10;0,051971;-0,008632;-0,010186;0,004477;-0,0081;-0,023002;-0,003723;-0,034667;-0,008397;-0,059815;-0,111786;-0,0246;0,0056
nov-00;2000;11;-0,072224;0,01435;0,047669;-0,003204;0,068421;0,056945;0,058093;0,075124;0,045715;0,016738;0,088962;-0,1025;0,0051
d�c-00;2000;12;0,013514;0,051623;0,038724;0,08351;0,047961;0,072034;0,089328;0,081964;0,059699;0,097326;0,083812;0,0203;0,005
janv-01;2001;1;0,019891;-0,056487;-0,030762;-0,02986;-0,119929;-0,102181;-0,092485;-0,00251;-0,091826;-0,091153;-0,111044;0,0395;0,0054
f�vr-01;2001;2;-0,019758;-0,024936;-0,00757;0,032681;0,031118;0,019381;0,031894;0,034459;0,017988;0,055239;0,074997;-0,0993;0,0039
mars-01;2001;3;-0,080754;0,018829;0,008388;-0,00213;-0,002412;0,024425;0,00569;0,04701;-0,015227;0,007163;0,087917;-0,0703;0,0044
avr-01;2001;4;0,027892;0,073413;0,030712;0,051563;0,042015;0,052338;0,018411;0,021412;0,051919;0,044043;0,016151;0,0839;0,0039
mai-01;2001;5;0,01531;0,044846;0,023779;0,011788;0,033857;0,017569;0,029042;-0,014124;0,037943;0,000507;-0,014803;0,0106;0,0032
juin-01;2001;6;0,030718;-0,036151;0,010426;-0,04966;0,016663;-0,020671;-0,016081;-0,018913;-0,029565;-0,09331;-0,124028;-0,0175;0,0028
juil-01;2001;7;0,065025;-0,055308;-0,020475;-0,079534;-0,017371;-0,017628;-0,036494;-0,026524;-0,036744;-0,075704;-0,140729;-0,0183;0,003
ao�t-01;2001;8;0,000405;-0,028025;0,003283;0,009005;0,016199;-0,012611;0,036007;0,041585;-0,005717;-0,002364;-0,002769;-0,0591;0,0031
sept-01;2001;9;-0,083818;-0,047563;-0,118917;-0,091506;-0,106248;-0,083018;-0,043148;-0,02902;-0,054156;-0,055764;0,028054;-0,0915;0,0028
oct-01;2001;10;0,035472;-0,015331;0,02089;-0,038915;-0,00208;-0,034008;-0,003008;0,005674;0,014357;0,039096;0,003624;0,028;0,0022
nov-01;2001;11;0,029482;0,018691;0,020744;0,037627;0,022791;0,015219;0,012312;0,0142;0,021237;0,027006;-0,002476;0,0787;0,0017
d�c-01;2001;12;0,066966;0,049577;0,049093;0,068863;0,055134;0,052104;0,029793;0,029302;0,052078;0,035602;-0,031364;0,0178;0,0015
janv-02;2002;1;-0,003749;-0,053196;-0,028349;0,004457;-0,025395;-0,035599;0,016057;0,012201;-0,037237;-0,017378;-0,013629;-0,0161;0,0014
f�vr-02;2002;2;0,002963;0,016369;0,006324;0,019468;0,000297;-0,024094;0,011018;0,016484;-0,006883;-0,029942;-0,032905;-0,0217;0,0013
mars-02;2002;3;0,055682;0,115365;0,058491;0,066201;0,068677;0,083448;0,035962;0,043516;0,062567;0,072522;0,01684;0,0447;0,0013
avr-02;2002;4;-0,017457;-0,030252;-0,023429;0,013838;-0,007996;-0,033883;-0,058698;0,03771;0,016462;0,008679;0,026136;-0,0496;0,0015
mai-02;2002;5;-0,061478;0,018671;-0,01937;-0,014912;-0,04994;-0,103101;-0,038306;0,00145;-0,020614;-0,019577;0,041901;-0,0105;0,0014
juin-02;2002;6;-0,070453;-0,038883;-0,09292;-0,030377;-0,029926;-0,112868;-0,036712;-0,005037;-0,011418;-0,044328;0,026125;-0,0702;0,0013
juil-02;2002;7;-0,249658;-0,183709;-0,152255;-0,060094;-0,075176;-0,096882;-0,039835;-0,088823;-0,163179;-0,09956;0,150098;-0,0811;0,0015
ao�t-02;2002;8;0,109024;0,051163;-0,003874;0,018586;0,007156;0,020579;0,019631;0,013627;-0,011757;-0,025434;-0,134458;0,008;0,0014
sept-02;2002;9;-0,180765;-0,192119;-0,088567;-0,084285;-0,022536;-0,038375;-0,052172;-0,047315;-0,051431;-0,010767;0,169998;-0,1;0,0014
oct-02;2002;10;-0,071382;0,121412;0,024531;0,018431;0,01085;-0,002202;0,048059;-0,078348;0,021075;0,063064;0,134446;0,075;0,0014
nov-02;2002;11;0,083989;0,097019;0,037283;0,035293;0,03383;0,031066;-0,012936;0,012071;0,019471;-0,016568;-0,100557;0,0613;0,0012
d�c-02;2002;12;-0,017174;-0,028674;0,00508;0,02743;0,020963;0,03651;0,027078;0,042909;0,05007;-0,017519;-0,000345;-0,0533;0,0011
janv-03;2003;1;-0,103765;-0,134194;-0,004998;-0,050919;-0,008157;-0,016607;-0,018574;-0,046284;-0,042868;-0,026696;0,077069;-0,0234;0,001
f�vr-03;2003;2;-0,17649;-0,052016;-0,025345;-0,021503;-0,006661;-0,033296;-0,005203;-0,030351;-0,04546;-0,028262;0,148228;-0,0154;9,00E-04
mars-03;2003;3;0,099672;0,026028;0,027674;0,020685;0,028603;0,045735;0,014006;0,039172;0,036297;0,001616;-0,098056;0,0103;0,001
avr-03;2003;4;0,160357;0,150057;0,094783;0,026135;0,053778;0,059751;0,043916;0,052749;0,045924;0,02902;-0,131337;0,0828;0,001
mai-03;2003;5;0,139687;0,135225;0,090929;0,09661;0,073194;0,067361;0,083401;0,078273;0,087869;0,058592;-0,081095;0,0635;9,00E-04
juin-03;2003;6;0,014164;0,0742;0,046834;-0,013291;0,005886;0,001079;0,01238;0,004856;-0,008903;0,009636;-0,004528;0,0163;0,001
juil-03;2003;7;-0,021499;-0,000151;-0,008094;-0,003254;-0,04368;-0,016036;0,004475;-0,026071;-0,017557;-0,026642;-0,005143;0,0231;7,00E-04
ao�t-03;2003;8;0,038364;0,026263;0,023128;0,016614;0,001639;0,021949;0,024446;-0,01502;0,041077;0,029691;-0,008673;0,0249;7,00E-04
sept-03;2003;9;0,051627;0,012329;0,008721;0,032261;0,032202;0,016725;0,015161;0,003995;0,026731;0,049868;-0,001759;-0,0091;8,00E-04
oct-03;2003;10;0,050221;0,032131;0,054501;0,036027;0,013426;0,027836;0,086052;0,051789;0,011878;0,037897;-0,012324;0,0603;7,00E-04
nov-03;2003;11;0,006645;0,025037;0,012416;0,030407;0,040525;-0,003974;0,010701;-0,004458;0,028615;0,016223;0,009578;0,0166;7,00E-04
d�c-03;2003;12;0,051756;0,028649;0,047216;0,046373;0,034254;0,019257;0,0273;0,025506;0,047552;0,023723;-0,028033;0,0455;8,00E-04
janv-04;2004;1;0,020098;0,02103;0,000989;0,019554;-0,00275;0,018788;-0,005588;-0,000933;0,002679;0,0257;0,005602;0,0231;7,00E-04
f�vr-04;2004;2;0,018886;0,033304;0,02493;0,005456;0,031771;0,021481;0,0185;0,025027;0,030129;0,016458;-0,002428;0,0155;6,00E-04
mars-04;2004;3;-0,014127;-0,015559;0,002613;-0,010516;-0,010533;0,014274;0,015924;0,006348;-0,006002;0,017726;0,031853;-0,0107;9,00E-04
avr-04;2004;4;-0,054583;-0,046543;-0,039518;-0,033334;-0,024891;-0,036597;-0,005725;-0,000512;-0,035477;-0,056526;-0,001943;-0,0242;8,00E-04
mai-04;2004;5;0,019734;0,014038;-0,023413;-0,007704;0,007423;0,009027;-0,000127;0,009832;0,013931;0,003992;-0,015742;0,0141;6,00E-04
juin-04;2004;6;0,033735;0,063071;0,057435;0,032786;0,023773;0,040056;0,040496;0,018559;0,031475;-0,002219;-0,035954;0,0216;8,00E-04
juil-04;2004;7;-0,046961;-0,008835;0,012448;0,001192;-0,007656;-0,024792;-0,022344;-0,003536;-0,032102;0,006143;0,053104;-0,0377;0,001
ao�t-04;2004;8;0,040909;0,047537;0,037882;0,029329;0,030951;0,031862;0,036332;0,008915;0,03884;-0,004228;-0,045137;0,0027;0,0011
sept-04;2004;9;-0,008928;0,000984;0,024085;0,008226;0,027138;0,002587;0,003014;0,022457;0,021158;0,038209;0,047137;0,0206;0,0011
oct-04;2004;10;0,039885;0,003976;0,016518;0,029365;0,032168;0,036425;0,026972;0,016657;0,022868;0,076696;0,036811;0,0178;0,0011
nov-04;2004;11;0,073969;0,035462;0,048659;0,051202;0,071748;0,047854;0,040876;0,043472;0,073751;0,060577;-0,013392;0,0482;0,0015
d�c-04;2004;12;0,061489;0,030313;0,012111;0,020463;0,02927;0,011559;0,021955;0,024412;-0,006939;0,013128;-0,048361;0,0352;0,0016
